psraid,sample,form,int_date,lang,state,cregion,density,usr,pial1a,pial1b,pial2a,pial2b,pial2c,pial2d,pial2e,pial3a,pial3b,pial3c,pial3d,pial4a,pial4b,pial4c,pial5,relig,chr,born,attend,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,ideo,raceos,pial5os,religos,zipcode,weight,standwt
100344,1,2,21414,1,6,4,1,S, ,1,2,2,3,3,2,2,2,1,1,8,2,1,97,1, ,1,3,2,1, ,2,3,2,2,68,5,2,1,6,3,3,1, ,4, , , ,95667,2.4,.735398555161014
100345,1,1,21414,1,6,4,5,U,1, ,2,1,3,3,3,1,8,1,1,2,2,2,98,1, ,2,5,1, , ,3,3,2,2,93,3,1,1,99,9,1,3,2,2, , , ,92705,2.36666666666667,.725184686339333
100346,1,2,21414,1,9,1,4,U, ,2,1,2,3,4,2,2,1,1,2,2,2,2,98,98,1,2,6,1, , ,2,1,1,2,57,8,2,1,8,4,1,3,9,3, , , ,06811,2.1,.643473735765887
100350,1,2,21414,1,37,3,3,U, ,8,4,4,4,4,4,3,2,3,1,2,1,1,4,1, ,1,4,2,1, ,2,3,2,1,61,6,2,1,99,9,1,3,9,8, , , ,27408,2.6,.796681768091098
100351,1,1,21414,1,6,4,5,U,8, ,2,3,3,3,4,2,2,2,2,2,2,2,98,1, ,1,1,1, , ,9,1,2,2,99,6,2,3,6,3,1,3,9,2, , , ,91331,1.26666666666667,.388127015223868
100353,1,1,21614,1,34,1,4,S,1, ,4,4,4,4,4,2,2,3,2,8,2,2,97,5, , ,5,2,2, ,1,3,2,2,92,3,2,1,99,2,1,2, ,3, , , ,08087,2.13333333333333,.653687604587568
100357,1,2,21414,1,6,4,3,U, ,1,3,2,2,1,3,1,2,2,2,1,1,1,7,12, , ,5,1, , ,3,3,2,1,52,4,2,1,6,3,1,2, ,3, , , ,95209,3.63333333333333,1.1133117015632
100358,1,2,21414,1,6,4,4,S, ,2,3,2,2,4,2,2,2,2,1,1,1,2,4,1, ,2,6,1, , ,2,1,2,2,62,4,2,1,4,2,1,1, ,1, , , ,95662,2.6,.796681768091098
100362,1,2,21414,1,53,4,1,R, ,2,2,2,3,4,2,2,3,1,1,2,2,2,97,2, ,2,2,1, , ,3,3,1,1,64,7,1,1,8,4,1,2, ,2, , , ,99344,1,.306416064650422
100365,1,2,21414,1,53,4,3,S, ,1,3,2,2,2,2,2,8,1,1,2,1,2,6,1, ,2,5,1, , ,2,3,2,2,74,4,2,9,7,4,1,2, ,3, , , ,98506,1.83333333333333,.561762785192441
100369,1,2,21514,2,36,1,5,U, ,2,2,1,2,4,3,1,9,2,1,2,2,1,98,2, ,1,4,1, , ,4,3,2,2,51,1,1,1,99,1,3,2, ,4, , , ,11207,5,1.53208032325211
